paper,screening,patch,C,M,Y,K,L_t,a_t,b_t,L_m,a_m,b_m,de00
ofsetni papir 80 g,200 line,113,85.0,52.0,81.0,0.0,32.0,1.0,-11.0,35.0,98.0,-12.0,3.23
ofsetni papir 80 g,200 line,114,85.0,81.0,81.0,0.0,27.0,11.0,0.0,28.0,95.0,-0.0,1.6
ofsetni papir 80 g,200 line,115,85.0,100.0,81.0,0.0,24.0,69.0,4.0,25.0,77.0,4.0,0.8
ofsetni papir 80 g,200 line,116,100.0,0.0,81.0,0.0,47.0,1.0,-49.0,47.0,42.0,-48.0,3.11
ofsetni papir 80 g,200 line,117,100.0,21.0,81.0,0.0,41.0,46.0,-38.0,41.0,94.0,-39.0,1.79
ofsetni papir 80 g,200 line,118,100.0,52.0,81.0,0.0,30.0,31.0,-18.0,32.0,54.0,-20.0,2.03
ofsetni papir 80 g,200 line,119,100.0,81.0,81.0,0.0,23.0,61.0,-4.0,25.0,69.0,-4.0,1.75
ofsetni papir 80 g,200 line,120,100.0,100.0,81.0,0.0,21.0,94.0,-0.0,23.0,56.0,-0.0,1.68
ofsetni papir 80 g,200 line,121,0.0,0.0,100.0,0.0,85.0,71.0,-3.0,86.0,18.0,-3.0,0.66
ofsetni papir 80 g,200 line,122,0.0,21.0,100.0,0.0,78.0,10.0,6.0,78.0,62.0,6.0,0.5
ofsetni papir 80 g,200 line,123,0.0,52.0,100.0,0.0,63.0,90.0,24.0,64.0,80.0,23.0,0.92
ofsetni papir 80 g,200 line,124,0.0,81.0,100.0,0.0,51.0,98.0,44.0,53.0,19.0,43.0,1.26
ofsetni papir 80 g,200 line,125,0.0,100.0,100.0,0.0,44.0,75.0,55.0,45.0,43.0,55.0,1.22
ofsetni papir 80 g,200 line,126,16.0,0.0,100.0,0.0,78.0,62.0,-6.0,78.0,58.0,-7.0,0.88
ofsetni papir 80 g,200 line,127,16.0,21.0,100.0,0.0,68.0,82.0,0.0,69.0,39.0,0.0,0.82
ofsetni papir 80 g,200 line,128,16.0,52.0,100.0,0.0,57.0,58.0,15.0,58.0,22.0,16.0,1.29
ofsetni papir 80 g,200 line,129,16.0,81.0,100.0,0.0,46.0,89.0,33.0,49.0,27.0,31.0,2.44
ofsetni papir 80 g,200 line,130,16.0,100.0,100.0,0.0,40.0,60.0,45.0,41.0,50.0,46.0,1.43
ofsetni papir 80 g,200 line,131,39.0,0.0,100.0,0.0,70.0,50.0,-16.0,69.0,85.0,-18.0,2.19
ofsetni papir 80 g,200 line,132,39.0,21.0,100.0,0.0,57.0,60.0,-6.0,59.0,34.0,-7.0,1.71
ofsetni papir 80 g,200 line,133,39.0,52.0,100.0,0.0,47.0,21.0,5.0,48.0,60.0,7.0,1.89
ofsetni papir 80 g,200 line,134,39.0,81.0,100.0,0.0,38.0,32.0,20.0,41.0,35.0,19.0,2.82
ofsetni papir 80 g,200 line,135,39.0,100.0,100.0,0.0,35.0,28.0,30.0,35.0,72.0,31.0,1.86
ofsetni papir 80 g,200 line,136,64.0,0.0,100.0,0.0,58.0,63.0,-32.0,59.0,10.0,-30.0,1.15
ofsetni papir 80 g,200 line,137,64.0,21.0,100.0,0.0,50.0,2.0,-19.0,50.0,32.0,-19.0,2.32
ofsetni papir 80 g,200 line,138,64.0,52.0,100.0,0.0,37.0,11.0,-2.0,38.0,76.0,-3.0,1.61
ofsetni papir 80 g,200 line,139,64.0,81.0,100.0,0.0,30.0,90.0,6.0,33.0,7.0,7.0,1.93
ofsetni papir 80 g,200 line,140,64.0,100.0,100.0,0.0,27.0,16.0,12.0,30.0,39.0,13.0,2.63
ofsetni papir 80 g,200 line,141,85.0,0.0,100.0,0.0,51.0,1.0,-43.0,50.0,62.0,-45.0,1.99
ofsetni papir 80 g,200 line,142,85.0,21.0,100.0,0.0,43.0,67.0,-32.0,44.0,35.0,-31.0,2.33
ofsetni papir 80 g,200 line,143,85.0,52.0,100.0,0.0,32.0,50.0,-12.0,35.0,81.0,-12.0,2.84
ofsetni papir 80 g,200 line,144,85.0,81.0,100.0,0.0,26.0,63.0,-0.0,28.0,99.0,-0.0,1.95
ofsetni papir 80 g,200 line,145,85.0,100.0,100.0,0.0,24.0,35.0,3.0,25.0,8.0,3.0,0.72
ofsetni papir 80 g,200 line,146,100.0,0.0,100.0,0.0,45.0,83.0,-51.0,45.0,89.0,-53.0,1.28
ofsetni papir 80 g,200 line,147,100.0,21.0,100.0,0.0,40.0,88.0,-40.0,40.0,53.0,-41.0,1.49
ofsetni papir 80 g,200 line,148,100.0,52.0,100.0,0.0,30.0,39.0,-19.0,32.0,27.0,-21.0,2.02
ofsetni papir 80 g,200 line,149,100.0,81.0,100.0,0.0,23.0,45.0,-4.0,24.0,89.0,-5.0,1.45
ofsetni papir 80 g,200 line,150,100.0,100.0,100.0,0.0,22.0,75.0,-0.0,23.0,23.0,-0.0,0.53
ofsetni papir 80 g,200 line,151,0.0,0.0,0.0,25.0,71.0,69.0,0.0,71.0,18.0,0.0,0.42
ofsetni papir 80 g,200 line,152,0.0,31.0,0.0,25.0,65.0,37.0,8.0,64.0,61.0,8.0,0.67
ofsetni papir 80 g,200 line,153,0.0,72.0,0.0,25.0,49.0,93.0,25.0,50.0,4.0,23.0,1.11
ofsetni papir 80 g,200 line,154,0.0,100.0,0.0,25.0,39.0,61.0,41.0,38.0,58.0,42.0,0.98
ofsetni papir 80 g,200 line,155,21.0,0.0,0.0,25.0,70.0,0.0,-4.0,70.0,3.0,-5.0,1.01
ofsetni papir 80 g,200 line,156,21.0,31.0,0.0,25.0,61.0,31.0,4.0,60.0,29.0,4.0,1.47
ofsetni papir 80 g,200 line,157,21.0,72.0,0.0,25.0,45.0,54.0,20.0,46.0,96.0,18.0,1.94
ofsetni papir 80 g,200 line,158,21.0,100.0,0.0,25.0,36.0,66.0,35.0,36.0,71.0,34.0,0.34
ofsetni papir 80 g,200 line,159,52.0,0.0,0.0,25.0,59.0,68.0,-13.0,60.0,56.0,-12.0,0.92
ofsetni papir 80 g,200 line,160,52.0,31.0,0.0,25.0,52.0,43.0,-4.0,52.0,9.0,-5.0,0.6
ofsetni papir 80 g,200 line,161,52.0,72.0,0.0,25.0,39.0,46.0,10.0,40.0,65.0,7.0,3.61
ofsetni papir 80 g,200 line,162,52.0,100.0,0.0,25.0,32.0,37.0,21.0,31.0,12.0,21.0,1.22
ofsetni papir 80 g,200 line,163,81.0,0.0,0.0,25.0,50.0,16.0,-22.0,50.0,36.0,-22.0,0.38
ofsetni papir 80 g,200 line,164,81.0,31.0,0.0,25.0,43.0,72.0,-14.0,43.0,36.0,-14.0,0.37
ofsetni papir 80 g,200 line,165,81.0,72.0,0.0,25.0,33.0,25.0,-0.0,34.0,23.0,-1.0,1.58
ofsetni papir 80 g,200 line,166,81.0,100.0,0.0,25.0,27.0,11.0,7.0,26.0,95.0,8.0,0.77
ofsetni papir 80 g,200 line,167,100.0,0.0,0.0,25.0,44.0,22.0,-29.0,43.0,63.0,-29.0,0.59
ofsetni papir 80 g,200 line,168,100.0,31.0,0.0,25.0,39.0,44.0,-20.0,38.0,77.0,-19.0,0.62
ofsetni papir 80 g,200 line,169,100.0,72.0,0.0,25.0,29.0,17.0,-6.0,31.0,19.0,-8.0,1.96
ofsetni papir 80 g,200 line,170,100.0,100.0,0.0,25.0,25.0,68.0,1.0,25.0,32.0,1.0,0.56
ofsetni papir 80 g,200 line,171,0.0,0.0,31.0,25.0,71.0,90.0,-1.0,71.0,45.0,-2.0,1.91
ofsetni papir 80 g,200 line,172,0.0,31.0,31.0,25.0,62.0,46.0,7.0,62.0,69.0,6.0,1.91
ofsetni papir 80 g,200 line,173,0.0,72.0,31.0,25.0,48.0,68.0,24.0,49.0,22.0,23.0,1.53
ofsetni papir 80 g,200 line,174,0.0,100.0,31.0,25.0,38.0,94.0,40.0,39.0,72.0,40.0,0.78
ofsetni papir 80 g,200 line,175,21.0,0.0,31.0,25.0,65.0,93.0,-5.0,65.0,96.0,-6.0,1.23
ofsetni papir 80 g,200 line,176,21.0,31.0,31.0,25.0,53.0,37.0,2.0,54.0,88.0,1.0,1.79
ofsetni papir 80 g,200 line,177,21.0,72.0,31.0,25.0,42.0,59.0,18.0,44.0,42.0,16.0,2.08
ofsetni papir 80 g,200 line,178,21.0,100.0,31.0,25.0,35.0,53.0,30.0,35.0,49.0,31.0,0.7
ofsetni papir 80 g,200 line,179,52.0,0.0,31.0,25.0,57.0,31.0,-14.0,56.0,59.0,-15.0,1.14
ofsetni papir 80 g,200 line,180,52.0,31.0,31.0,25.0,44.0,18.0,-4.0,46.0,37.0,-4.0,2.37
ofsetni papir 80 g,200 line,181,52.0,72.0,31.0,25.0,34.0,57.0,8.0,36.0,33.0,8.0,1.55
ofsetni papir 80 g,200 line,182,52.0,100.0,31.0,25.0,29.0,32.0,18.0,29.0,92.0,19.0,0.81
ofsetni papir 80 g,200 line,183,81.0,0.0,31.0,25.0,47.0,70.0,-25.0,46.0,92.0,-26.0,1.21
ofsetni papir 80 g,200 line,184,81.0,31.0,31.0,25.0,37.0,33.0,-12.0,39.0,22.0,-14.0,1.92
ofsetni papir 80 g,200 line,185,81.0,72.0,31.0,25.0,27.0,39.0,-0.0,29.0,87.0,-0.0,2.25
ofsetni papir 80 g,200 line,186,81.0,100.0,31.0,25.0,23.0,57.0,5.0,25.0,45.0,5.0,1.86
ofsetni papir 80 g,200 line,187,100.0,0.0,31.0,25.0,41.0,88.0,-33.0,42.0,36.0,-33.0,0.76
ofsetni papir 80 g,200 line,188,100.0,31.0,31.0,25.0,33.0,64.0,-18.0,35.0,59.0,-20.0,1.8
ofsetni papir 80 g,200 line,189,100.0,72.0,31.0,25.0,25.0,2.0,-4.0,26.0,33.0,-5.0,1.55
ofsetni papir 80 g,200 line,190,100.0,100.0,31.0,25.0,21.0,57.0,-0.0,23.0,73.0,-0.0,2.24
ofsetni papir 80 g,200 line,191,0.0,0.0,72.0,25.0,68.0,27.0,-3.0,68.0,92.0,-3.0,1.13
ofsetni papir 80 g,200 line,192,0.0,31.0,72.0,25.0,59.0,74.0,6.0,59.0,40.0,7.0,1.77
ofsetni papir 80 g,200 line,193,0.0,72.0,72.0,25.0,46.0,36.0,24.0,47.0,7.0,23.0,0.9
ofsetni papir 80 g,200 line,194,0.0,100.0,72.0,25.0,36.0,85.0,39.0,36.0,87.0,39.0,1.52
ofsetni papir 80 g,200 line,195,21.0,0.0,72.0,25.0,62.0,33.0,-6.0,60.0,82.0,-6.0,1.54
ofsetni papir 80 g,200 line,196,21.0,31.0,72.0,25.0,51.0,93.0,1.0,52.0,51.0,1.0,0.64
ofsetni papir 80 g,200 line,197,21.0,72.0,72.0,25.0,40.0,34.0,18.0,42.0,51.0,17.0,2.02
ofsetni papir 80 g,200 line,198,21.0,100.0,72.0,25.0,33.0,97.0,28.0,34.0,50.0,30.0,1.14
ofsetni papir 80 g,200 line,199,52.0,0.0,72.0,25.0,53.0,55.0,-16.0,52.0,60.0,-17.0,2.37
ofsetni papir 80 g,200 line,200,52.0,31.0,72.0,25.0,38.0,32.0,-5.0,42.0,92.0,-6.0,4.24
ofsetni papir 80 g,200 line,201,52.0,72.0,72.0,25.0,29.0,66.0,6.0,32.0,54.0,6.0,2.36
ofsetni papir 80 g,200 line,202,52.0,100.0,72.0,25.0,26.0,95.0,13.0,28.0,48.0,15.0,1.96
ofsetni papir 80 g,200 line,203,81.0,0.0,72.0,25.0,44.0,11.0,-29.0,44.0,39.0,-28.0,2.11
ofsetni papir 80 g,200 line,204,81.0,31.0,72.0,25.0,35.0,52.0,-15.0,37.0,63.0,-15.0,1.82
ofsetni papir 80 g,200 line,205,81.0,72.0,72.0,25.0,26.0,5.0,-0.0,27.0,26.0,-0.0,1.0
ofsetni papir 80 g,200 line,206,81.0,100.0,72.0,25.0,23.0,58.0,3.0,24.0,16.0,3.0,0.5
ofsetni papir 80 g,200 line,207,100.0,0.0,72.0,25.0,39.0,26.0,-37.0,38.0,78.0,-38.0,0.83
ofsetni papir 80 g,200 line,208,100.0,31.0,72.0,25.0,31.0,74.0,-22.0,32.0,1.0,-23.0,0.52
ofsetni papir 80 g,200 line,209,100.0,72.0,72.0,25.0,22.0,36.0,-4.0,23.0,29.0,-5.0,1.26
ofsetni papir 80 g,200 line,210,100.0,100.0,72.0,25.0,22.0,23.0,-0.0,20.0,73.0,-0.0,1.25
ofsetni papir 80 g,200 line,211,0.0,0.0,100.0,25.0,66.0,66.0,-3.0,67.0,47.0,-3.0,0.7
ofsetni papir 80 g,200 line,212,0.0,31.0,100.0,25.0,57.0,69.0,6.0,56.0,96.0,7.0,0.93
ofsetni papir 80 g,200 line,213,0.0,72.0,100.0,25.0,45.0,9.0,25.0,45.0,77.0,24.0,1.14
ofsetni papir 80 g,200 line,214,0.0,100.0,100.0,25.0,37.0,62.0,39.0,38.0,41.0,39.0,1.33
ofsetni papir 80 g,200 line,215,21.0,0.0,100.0,25.0,59.0,98.0,-7.0,60.0,32.0,-7.0,0.78
ofsetni papir 80 g,200 line,216,21.0,31.0,100.0,25.0,49.0,40.0,1.0,52.0,15.0,0.0,2.78
ofsetni papir 80 g,200 line,217,21.0,72.0,100.0,25.0,38.0,25.0,18.0,41.0,6.0,17.0,2.54
ofsetni papir 80 g,200 line,218,21.0,100.0,100.0,25.0,32.0,66.0,29.0,33.0,10.0,30.0,1.19
ofsetni papir 80 g,200 line,219,52.0,0.0,100.0,25.0,51.0,34.0,-17.0,50.0,43.0,-19.0,1.77
ofsetni papir 80 g,200 line,220,52.0,31.0,100.0,25.0,39.0,23.0,-6.0,41.0,85.0,-7.0,2.48
ofsetni papir 80 g,200 line,221,52.0,72.0,100.0,25.0,29.0,41.0,5.0,31.0,97.0,6.0,2.09
ofsetni papir 80 g,200 line,222,52.0,100.0,100.0,25.0,25.0,4.0,13.0,26.0,77.0,14.0,1.56
ofsetni papir 80 g,200 line,223,81.0,0.0,100.0,25.0,41.0,34.0,-32.0,41.0,59.0,-32.0,1.46
ofsetni papir 80 g,200 line,224,81.0,31.0,100.0,25.0,33.0,57.0,-17.0,35.0,11.0,-18.0,1.67
ofsetni papir 80 g,200 line,225,81.0,72.0,100.0,25.0,26.0,46.0,-1.0,26.0,48.0,-2.0,1.45
ofsetni papir 80 g,200 line,226,81.0,100.0,100.0,25.0,24.0,46.0,2.0,25.0,58.0,2.0,0.87
ofsetni papir 80 g,200 line,227,100.0,0.0,100.0,25.0,39.0,26.0,-38.0,38.0,81.0,-39.0,1.34
ofsetni papir 80 g,200 line,228,100.0,31.0,100.0,25.0,31.0,45.0,-23.0,32.0,49.0,-25.0,1.55
ofsetni papir 80 g,200 line,229,100.0,72.0,100.0,25.0,24.0,71.0,-4.0,26.0,15.0,-5.0,1.57
ofsetni papir 80 g,200 line,230,100.0,100.0,100.0,25.0,24.0,49.0,-0.0,24.0,61.0,-0.0,0.41
ofsetni papir 80 g,200 line,231,0.0,0.0,0.0,60.0,40.0,14.0,-0.0,42.0,93.0,-0.0,2.55
ofsetni papir 80 g,200 line,232,0.0,31.0,0.0,60.0,38.0,21.0,3.0,40.0,90.0,3.0,2.47
ofsetni papir 80 g,200 line,233,0.0,72.0,0.0,60.0,31.0,44.0,12.0,33.0,58.0,12.0,1.7
ofsetni papir 80 g,200 line,234,0.0,100.0,0.0,60.0,26.0,51.0,18.0,26.0,42.0,20.0,1.53
ofsetni papir 80 g,200 line,235,31.0,0.0,0.0,60.0,41.0,32.0,-4.0,41.0,93.0,-5.0,1.99
ofsetni papir 80 g,200 line,236,31.0,31.0,0.0,60.0,35.0,81.0,0.0,37.0,10.0,-0.0,1.82
ofsetni papir 80 g,200 line,237,31.0,72.0,0.0,60.0,28.0,83.0,8.0,30.0,12.0,7.0,1.1
ofsetni papir 80 g,200 line,238,31.0,100.0,0.0,60.0,22.0,86.0,14.0,23.0,22.0,15.0,1.17
ofsetni papir 80 g,200 line,239,72.0,0.0,0.0,60.0,33.0,70.0,-10.0,35.0,90.0,-11.0,2.22
ofsetni papir 80 g,200 line,240,72.0,31.0,0.0,60.0,29.0,83.0,-5.0,31.0,90.0,-6.0,2.1
ofsetni papir 80 g,200 line,241,72.0,72.0,0.0,60.0,25.0,12.0,0.0,26.0,57.0,-0.0,2.06
ofsetni papir 80 g,200 line,242,72.0,100.0,0.0,60.0,21.0,97.0,4.0,23.0,56.0,4.0,1.32
ofsetni papir 80 g,200 line,243,100.0,0.0,0.0,60.0,29.0,48.0,-13.0,31.0,24.0,-15.0,1.77
ofsetni papir 80 g,200 line,244,100.0,31.0,0.0,60.0,27.0,15.0,-7.0,27.0,92.0,-9.0,1.88
ofsetni papir 80 g,200 line,245,100.0,72.0,0.0,60.0,21.0,96.0,-1.0,23.0,29.0,-3.0,1.89
ofsetni papir 80 g,200 line,246,100.0,100.0,0.0,60.0,22.0,12.0,0.0,21.0,98.0,0.0,1.57
ofsetni papir 80 g,200 line,247,0.0,0.0,31.0,60.0,42.0,26.0,-1.0,45.0,32.0,-1.0,3.08
ofsetni papir 80 g,200 line,248,0.0,31.0,31.0,60.0,37.0,33.0,3.0,38.0,99.0,3.0,1.54
ofsetni papir 80 g,200 line,249,0.0,72.0,31.0,60.0,31.0,14.0,11.0,32.0,93.0,11.0,1.82
ofsetni papir 80 g,200 line,250,0.0,100.0,31.0,60.0,27.0,53.0,15.0,27.0,37.0,17.0,1.38
ofsetni papir 80 g,200 line,251,31.0,0.0,31.0,60.0,39.0,5.0,-4.0,39.0,83.0,-5.0,1.59
ofsetni papir 80 g,200 line,252,31.0,31.0,31.0,60.0,33.0,39.0,-0.0,35.0,85.0,-0.0,2.03
ofsetni papir 80 g,200 line,253,31.0,72.0,31.0,60.0,27.0,83.0,6.0,29.0,11.0,7.0,1.06
ofsetni papir 80 g,200 line,254,31.0,100.0,31.0,60.0,23.0,67.0,10.0,25.0,65.0,11.0,1.83
ofsetni papir 80 g,200 line,255,72.0,0.0,31.0,60.0,32.0,90.0,-10.0,34.0,30.0,-11.0,1.81
ofsetni papir 80 g,200 line,256,72.0,31.0,31.0,60.0,29.0,21.0,-4.0,30.0,13.0,-5.0,1.22
ofsetni papir 80 g,200 line,257,72.0,72.0,31.0,60.0,25.0,32.0,0.0,26.0,65.0,0.0,1.34
ofsetni papir 80 g,200 line,258,72.0,100.0,31.0,60.0,23.0,13.0,2.0,23.0,72.0,2.0,0.59
ofsetni papir 80 g,200 line,259,100.0,0.0,31.0,60.0,29.0,10.0,-13.0,31.0,13.0,-15.0,2.36
ofsetni papir 80 g,200 line,260,100.0,31.0,31.0,60.0,25.0,53.0,-7.0,27.0,48.0,-8.0,2.02
ofsetni papir 80 g,200 line,261,100.0,72.0,31.0,60.0,23.0,62.0,-1.0,22.0,95.0,-2.0,1.54
ofsetni papir 80 g,200 line,262,100.0,100.0,31.0,60.0,22.0,3.0,0.0,21.0,69.0,0.0,1.27
ofsetni papir 80 g,200 line,263,0.0,0.0,72.0,60.0,42.0,12.0,-2.0,44.0,50.0,-2.0,2.44
ofsetni papir 80 g,200 line,264,0.0,31.0,72.0,60.0,36.0,76.0,2.0,37.0,87.0,2.0,1.3
ofsetni papir 80 g,200 line,265,0.0,72.0,72.0,60.0,30.0,78.0,10.0,32.0,0.0,11.0,1.39
ofsetni papir 80 g,200 line,266,0.0,100.0,72.0,60.0,27.0,62.0,15.0,28.0,16.0,17.0,1.42
ofsetni papir 80 g,200 line,267,31.0,0.0,72.0,60.0,36.0,82.0,-5.0,38.0,81.0,-6.0,2.01
ofsetni papir 80 g,200 line,268,31.0,31.0,72.0,60.0,31.0,57.0,-1.0,34.0,47.0,-1.0,2.47
ofsetni papir 80 g,200 line,269,31.0,72.0,72.0,60.0,27.0,52.0,5.0,29.0,42.0,5.0,1.57
ofsetni papir 80 g,200 line,270,31.0,100.0,72.0,60.0,25.0,74.0,8.0,26.0,51.0,10.0,1.5
ofsetni papir 80 g,200 line,271,72.0,0.0,72.0,60.0,30.0,17.0,-11.0,32.0,26.0,-12.0,2.14
ofsetni papir 80 g,200 line,272,72.0,31.0,72.0,60.0,28.0,43.0,-5.0,29.0,24.0,-5.0,1.28
ofsetni papir 80 g,200 line,273,72.0,72.0,72.0,60.0,26.0,69.0,0.0,26.0,43.0,-0.0,0.32
ofsetni papir 80 g,200 line,274,72.0,100.0,72.0,60.0,24.0,7.0,2.0,24.0,24.0,2.0,0.23
ofsetni papir 80 g,200 line,275,100.0,0.0,72.0,60.0,28.0,68.0,-13.0,29.0,51.0,-16.0,2.24
ofsetni papir 80 g,200 line,276,100.0,31.0,72.0,60.0,25.0,95.0,-7.0,27.0,11.0,-8.0,1.72
ofsetni papir 80 g,200 line,277,100.0,72.0,72.0,60.0,24.0,85.0,-1.0,24.0,13.0,-2.0,0.93
ofsetni papir 80 g,200 line,278,100.0,100.0,72.0,60.0,23.0,92.0,-0.0,22.0,57.0,-0.0,1.07
ofsetni papir 80 g,200 line,279,0.0,0.0,100.0,60.0,39.0,46.0,-3.0,41.0,19.0,-3.0,2.1
ofsetni papir 80 g,200 line,280,0.0,31.0,100.0,60.0,34.0,53.0,0.0,36.0,44.0,1.0,2.14
ofsetni papir 80 g,200 line,281,0.0,72.0,100.0,60.0,28.0,40.0,11.0,30.0,89.0,12.0,2.25
ofsetni papir 80 g,200 line,282,0.0,100.0,100.0,60.0,24.0,22.0,15.0,26.0,97.0,17.0,2.54
ofsetni papir 80 g,200 line,283,31.0,0.0,100.0,60.0,34.0,81.0,-6.0,37.0,75.0,-7.0,2.82
ofsetni papir 80 g,200 line,284,31.0,31.0,100.0,60.0,31.0,23.0,-1.0,33.0,76.0,-2.0,2.58
ofsetni papir 80 g,200 line,285,31.0,72.0,100.0,60.0,26.0,43.0,4.0,28.0,94.0,5.0,2.04
ofsetni papir 80 g,200 line,286,31.0,100.0,100.0,60.0,25.0,72.0,7.0,26.0,63.0,9.0,1.75
ofsetni papir 80 g,200 line,287,72.0,0.0,100.0,60.0,30.0,24.0,-11.0,31.0,25.0,-13.0,1.57
ofsetni papir 80 g,200 line,288,72.0,31.0,100.0,60.0,27.0,87.0,-5.0,28.0,69.0,-6.0,1.17
ofsetni papir 80 g,200 line,289,72.0,72.0,100.0,60.0,26.0,27.0,-0.0,25.0,1.0,-0.0,1.06
ofsetni papir 80 g,200 line,290,72.0,100.0,100.0,60.0,24.0,81.0,1.0,24.0,52.0,1.0,0.22
ofsetni papir 80 g,200 line,291,100.0,0.0,100.0,60.0,29.0,26.0,-13.0,29.0,41.0,-15.0,1.84
ofsetni papir 80 g,200 line,292,100.0,31.0,100.0,60.0,25.0,92.0,-8.0,26.0,84.0,-8.0,1.18
ofsetni papir 80 g,200 line,293,100.0,72.0,100.0,60.0,24.0,14.0,-2.0,23.0,53.0,-2.0,0.72
ofsetni papir 80 g,200 line,294,100.0,100.0,100.0,60.0,23.0,46.0,-0.0,23.0,21.0,-0.0,0.23
ofsetni papir 80 g,200 line,295,0.0,0.0,0.0,88.0,26.0,73.0,-0.0,27.0,30.0,-0.0,0.43
ofsetni papir 80 g,200 line,296,0.0,52.0,0.0,88.0,24.0,40.0,2.0,24.0,61.0,2.0,0.33
ofsetni papir 80 g,200 line,297,0.0,100.0,0.0,88.0,23.0,19.0,4.0,22.0,45.0,5.0,1.0
ofsetni papir 80 g,200 line,298,31.0,0.0,0.0,88.0,26.0,43.0,-1.0,27.0,63.0,-2.0,1.55
ofsetni papir 80 g,200 line,299,31.0,52.0,0.0,88.0,24.0,54.0,0.0,23.0,99.0,0.0,0.66
ofsetni papir 80 g,200 line,300,31.0,100.0,0.0,88.0,21.0,44.0,3.0,22.0,78.0,3.0,1.05
ofsetni papir 80 g,200 line,301,72.0,0.0,0.0,88.0,23.0,89.0,-2.0,24.0,69.0,-3.0,1.21
ofsetni papir 80 g,200 line,302,72.0,52.0,0.0,88.0,23.0,58.0,-0.0,24.0,30.0,-0.0,0.87
ofsetni papir 80 g,200 line,303,72.0,100.0,0.0,88.0,23.0,35.0,1.0,20.0,97.0,1.0,1.9
ofsetni papir 80 g,200 line,304,100.0,0.0,0.0,88.0,24.0,66.0,-2.0,24.0,68.0,-3.0,1.25
ofsetni papir 80 g,200 line,305,100.0,52.0,0.0,88.0,24.0,27.0,-0.0,22.0,70.0,-0.0,1.51
ofsetni papir 80 g,200 line,306,100.0,100.0,0.0,88.0,22.0,50.0,0.0,23.0,2.0,0.0,0.6
ofsetni papir 80 g,200 line,307,0.0,0.0,52.0,88.0,28.0,37.0,-1.0,29.0,9.0,-1.0,1.01
ofsetni papir 80 g,200 line,308,0.0,52.0,52.0,88.0,25.0,8.0,1.0,26.0,7.0,1.0,0.94
ofsetni papir 80 g,200 line,309,0.0,100.0,52.0,88.0,18.0,85.0,5.0,19.0,91.0,6.0,0.97
ofsetni papir 80 g,200 line,310,31.0,0.0,52.0,88.0,25.0,53.0,-2.0,25.0,77.0,-3.0,0.88
ofsetni papir 80 g,200 line,311,31.0,52.0,52.0,88.0,24.0,75.0,0.0,24.0,67.0,0.0,0.19
ofsetni papir 80 g,200 line,312,31.0,100.0,52.0,88.0,22.0,77.0,2.0,23.0,60.0,2.0,0.6
ofsetni papir 80 g,200 line,313,72.0,0.0,52.0,88.0,24.0,2.0,-3.0,23.0,95.0,-3.0,0.68
ofsetni papir 80 g,200 line,314,72.0,52.0,52.0,88.0,24.0,1.0,-0.0,24.0,25.0,-0.0,0.28
ofsetni papir 80 g,200 line,315,72.0,100.0,52.0,88.0,23.0,97.0,0.0,23.0,32.0,0.0,0.65
ofsetni papir 80 g,200 line,316,100.0,0.0,52.0,88.0,24.0,3.0,-3.0,24.0,16.0,-3.0,0.92
ofsetni papir 80 g,200 line,317,100.0,52.0,52.0,88.0,24.0,51.0,-0.0,21.0,24.0,-1.0,2.5
ofsetni papir 80 g,200 line,318,100.0,100.0,52.0,88.0,25.0,0.0,-0.0,22.0,5.0,-0.0,2.19
ofsetni papir 80 g,200 line,319,0.0,0.0,100.0,88.0,27.0,94.0,-1.0,26.0,93.0,-2.0,1.43
ofsetni papir 80 g,200 line,320,0.0,52.0,100.0,88.0,26.0,12.0,0.0,24.0,61.0,0.0,1.35
ofsetni papir 80 g,200 line,321,0.0,100.0,100.0,88.0,23.0,8.0,3.0,22.0,61.0,3.0,0.88
ofsetni papir 80 g,200 line,322,31.0,0.0,100.0,88.0,26.0,57.0,-2.0,25.0,80.0,-2.0,0.8
ofsetni papir 80 g,200 line,323,31.0,52.0,100.0,88.0,18.0,84.0,-0.0,20.0,61.0,0.0,1.24
ofsetni papir 80 g,200 line,324,31.0,100.0,100.0,88.0,19.0,61.0,2.0,20.0,54.0,2.0,0.7
ofsetni papir 80 g,200 line,325,72.0,0.0,100.0,88.0,23.0,39.0,-4.0,24.0,61.0,-4.0,0.93
ofsetni papir 80 g,200 line,326,72.0,52.0,100.0,88.0,23.0,38.0,-1.0,23.0,14.0,-1.0,0.51
ofsetni papir 80 g,200 line,327,72.0,100.0,100.0,88.0,23.0,57.0,0.0,22.0,73.0,0.0,0.65
ofsetni papir 80 g,200 line,328,100.0,0.0,100.0,88.0,23.0,54.0,-4.0,23.0,61.0,-4.0,0.41
ofsetni papir 80 g,200 line,329,100.0,52.0,100.0,88.0,24.0,9.0,-1.0,23.0,35.0,-1.0,0.63
ofsetni papir 80 g,200 line,330,100.0,100.0,100.0,88.0,24.0,12.0,-0.0,23.0,83.0,-0.0,0.51
ofsetni papir 80 g,200 line,331,0.0,0.0,0.0,100.0,27.0,24.0,-0.0,25.0,94.0,-0.0,0.99
ofsetni papir 80 g,200 line,332,0.0,52.0,0.0,100.0,25.0,5.0,0.0,23.0,28.0,0.0,1.33
ofsetni papir 80 g,200 line,333,0.0,100.0,0.0,100.0,24.0,22.0,1.0,22.0,27.0,1.0,1.57
